Duke Street:CPG24C,55.85966175538049,-4.236528758151018,701,1170,3
Dundasvale 2:CPG21C,55.869167760473324,-4.258813645522479,63,85, 2.50
Glasgow - Royal Infirmary Car Pa:CPG15C,55.86548682162141,-4.23497771554331,500,750,5
Glasgow - George Street Car Park:CPG14C,55.86123812209307,-4.244721620331509,200,290,3
High Street:CPG13C,55.85977254007017,-4.239331652385187,0,400,2
Glasgow - The Glasshouse Car Par:CPG12C,55.858371924196575,-4.24861509096708,200,510,5
Glasgow - Candleriggs - 3 Albi:CPG11C,55.85775922101256,-4.245255977542678,210,430,4
Glasgow - Waterloo Street	- 99:CPG10C,55.86035416531329,-4.264022953265363,350,660,3.25
Glasgow - Sauchiehall Street - 1:CPG09C,55.86463876058145,-4.260244779380231,32,100,4.50
Glasgow - Mitchell Street Car Pa:CPG08C,55.86007766615121,-4.2560806030746825,56,220,6
Charing Cross:CPG07C,55.864730862024224,-4.268912534797298,433,433,2.20
Cadogan Square:CPG06C,55.86007562778954,-4.266947136483616,279,325,1.50
Shields Road:CPG05C,55.850235839806565,-4.273195914676682,0,810,3
Buchanan Galleries:CPG04C,55.86379621893744,-4.24982359238236,899,2000,4.20
Cambridge Street:CPG03C,55.86639252958139,-4.258220948854107,698,812,3
Concert Square:CPG02C,55.86577732200993,-4.252559328401379,698,698,1.90
Dundasvale 1:CPG01C,55.867862665358366,-4.25793867759705,351,375,4.5
